"paper_ID","light_treatment_mean","dark_treatment_mean","light_se","dark_se","light_n","dark_n"
"XLE9CETS",28.9902871774198,14.2503573705547,2.59421874441721,2.38395983414603,10,10
"JTRLFNEZ",30.4168253968254,24.0574603174603,2.83838123407942,1.85398824155068,63,63
"6IHYJZ5N",78.5872087567734,29.966978133536,24.4129762670566,2.69156000702353,8,8
