treatment,repeated_times,triad,bat_ID,peak_light_wavelength,light_intensity,time_foraging_onset,total_foraging_time,food_consumption,freezing_time,estimated_echolocation_pulse_rate
white_light,5,2,1090,452.6,75.67,18,3.53,0.35,53.25,0.24
white_light,6,2,1065,452.6,74,16.85,4.2,1.14,51.88,0.01
white_light,6,2,1068,452.6,74,16.85,4.3,0.77,53.77,0.01
white_light,6,2,1090,452.6,74,16.85,4.53,1.35,55.18,0.01
white_light,7,2,1065,452.6,73.33,25.42,6.67,3.09,44.95,0.02
white_light,7,2,1068,452.6,73.33,16.27,2.8,3.48,56.08,0.02
white_light,7,2,1090,452.6,73.33,16.27,1.73,0.11,57.83,0.02
white_light,8,2,1065,452.6,74,60,0,0,49.47,0.07
white_light,8,2,1068,452.6,74,60,0,0,57.02,0.07
white_light,8,2,1090,452.6,74,60,0,0,52.18,0.07
white_light,9,2,1065,452.6,72.67,18.57,9.08,0.7,39.65,0.08
white_light,9,2,1068,452.6,72.67,17.5,12.48,2.93,42.02,0.08
white_light,9,2,1090,452.6,72.67,23.87,14.23,6.19,16.4,0.08
white_light,10,2,1065,452.6,74.33,15.52,11.85,3.58,38.73,0
white_light,10,2,1068,452.6,74.33,60,0,0,58.58,0
white_light,10,2,1090,452.6,74.33,29.3,6.18,1.83,49.7,0
white_light,11,2,1065,452.6,74.67,6.4,7.88,3.06,43.65,0.11
white_light,11,2,1068,452.6,74.67,5.62,0.78,0.33,56.83,0.11
white_light,11,2,1090,452.6,74.67,6.63,2.7,0.66,55.48,0.11
white_light,12,2,1065,452.6,74.67,60,0,0,50.75,0.03
white_light,12,2,1068,452.6,74.67,60,0,0,60,0.03
white_light,12,2,1090,452.6,74.67,60,0,0,50.9,0.03
white_light,13,2,1065,452.6,72.33,17.42,7.42,2.62,42.48,0.02
white_light,13,2,1068,452.6,72.33,60,0,0,57.3,0.02
white_light,13,2,1090,452.6,72.33,23.4,8.07,1.56,40.6,0.02
white_light,14,2,1065,452.6,72,8.68,5.13,2.14,45.42,0.01
white_light,14,2,1068,452.6,72,60,0,0,57.42,0.01
white_light,14,2,1090,452.6,72,60,0,0,58.52,0.01
white_light,15,2,1065,452.6,72.33,7.35,0.73,0.87,55.57,0.04
white_light,15,2,1068,452.6,72.33,56.1,3.02,1.16,54.73,0.04
white_light,15,2,1090,452.6,72.33,54.88,4.23,0.8,50.1,0.04
white_light,16,2,1065,452.6,73,60,0,0,60,0
white_light,16,2,1068,452.6,73,60,0,0,55.7,0
white_light,16,2,1090,452.6,73,60,0,0,59,0
white_light,17,2,1065,452.6,72.67,15.88,8.17,3.54,34.4,0.54
white_light,17,2,1068,452.6,72.67,16.37,4.93,2.07,43.67,0.54
white_light,17,2,1090,452.6,72.67,19.75,4.7,0.69,43.27,0.54
white_light,18,2,1065,452.6,73,8.02,1.12,1.15,54.03,0.01
white_light,18,2,1068,452.6,73,60,0,0,58.05,0.01
white_light,18,2,1090,452.6,73,60,0,0,58.2,0.01
white_light,19,2,1065,452.6,71.67,4.58,1.73,1.55,40.45,0.02
white_light,19,2,1068,452.6,71.67,60,0,0,55.52,0.02
white_light,19,2,1090,452.6,71.67,60,0,0,51.87,0.02
white_light,20,2,1065,452.6,70.33,60,0,0,50.17,0
white_light,20,2,1068,452.6,70.33,60,0,0,55.5,0
white_light,20,2,1090,452.6,70.33,60,0,0,49.95,0
white_light,21,2,1065,452.6,71.67,13.85,9.38,3.65,24.22,0.64
white_light,21,2,1068,452.6,71.67,14.43,5.22,1.15,43.88,0.64
white_light,21,2,1090,452.6,71.67,22.77,1.28,0.89,42,0.64
