"","filename","variable","group_id","mean","sd","n","r","se","error_type","plot_type"
"1","lou_et_al_2021_fig3.png","Minutes after sunset","dark_control",14.2503573705547,7.53874292625872,10,NA,2.38395983414603,"sd","boxplot"
"2","lou_et_al_2021_fig3.png","Minutes after sunset","light_treatment",28.9902871774198,8.20363998106062,10,NA,2.59421874441721,"sd","boxplot"
"3","stone_et_al_2009_fig3.png","Minutes after sunset","light_treatment",78.5872087567734,69.050324269528,8,NA,24.4129762670566,"se","mean_error"
"4","stone_et_al_2009_fig3.png","Minutes after sunset","dark_control",29.966978133536,7.61288133174739,8,NA,2.69156000702353,"se","mean_error"
