Part_nuit,Participation,Date,Julian_day,site_point,Longitude,Latitude,Eptser_tot,Eptser_tot_Part1,ln_Eptser_tot_Part1,Median_part1,Sunrise,Sunset,NightDuration,Moonrise,Moonset,Moonlight,ALAN,Cloud_cover,Windspeed,Windspeed_1before,Windspeed_2before,Windspeed_3before,Windspeed_4before,Windspeed_5before,Difference_windspeed,Temperature_anomaly,Temperature_anomaly_1before,Temperature_anomaly_2before,Temperature_anomaly_3before,Temperature_anomaly_4before,Temperature_anomaly_5before,Difference_temperature_anomaly,Precipitations,Precipitations_1before,Precipitations_2before,Precipitations_3before,Precipitations_4before,Precipitations_5before,Difference_precipitations,Artifialized_surfaces,Crops,Grasslands,Deciduous_forests,Conifer_forests,Shannon_index,Road_density,SWF_density,Min_dist_water
594799c0f93cb0000d7320d3_2017-06-15,594799c0f93cb0000d7320d3,15/06/2017,166,57344eb46b9acb000d4c6960_Z1,-0.595554471,46.402824,16,14,2.63905732961526,10288,16/06/2017 06:09,15/06/2017 21:56,29555,16/06/2017 01:48,16/06/2017 12:57,0.608999749,0.3566698,39,9.411164,3.41321,4.604344,5.52268,7.564391013,1.886797021,4.80669433,4.575483769,6.76548372,2.365483818,0.775483854,4.425483772,1.645483834,0.834666648,0,0,0,0,0,0,0,0.070567892,0.884374468,0.03367297,0.002022996,0.000413795,1.684909562,2.41828779,0.012854844,4699.612364
59479a60564127000f3ebf3b_2017-06-15,59479a60564127000f3ebf3b,15/06/2017,166,57344eb46b9acb000d4c6960_Z3,-0.586195707,46.40505014,14,14,2.63905732961526,5678.3535,16/06/2017 06:09,15/06/2017 21:56,29554,16/06/2017 01:48,16/06/2017 12:57,0.608999749,0.2107564,39,9.411164,3.41321,4.604344,5.52268,7.564391013,1.886797021,4.80669433,4.575483769,6.76548372,2.365483818,0.775483854,4.425483772,1.645483834,0.834666648,0,0,0,0,0,0,0,0.064221771,0.893208961,0.03301632,0.000799324,0.000406736,1.667572511,2.28269191,0.012786645,4515.794656
59479aaf564127000f3ebf3e_2017-06-15,59479aaf564127000f3ebf3e,15/06/2017,166,57344eb46b9acb000d4c6960_Z4,-0.586496115,46.40536086,10,10,2.30258509299405,5659.354,16/06/2017 06:09,15/06/2017 21:56,29554,16/06/2017 01:48,16/06/2017 12:57,0.608999749,0.2107564,39,9.411164,3.41321,4.604344,5.52268,7.564391013,1.886797021,4.80669433,4.575483769,6.76548372,2.365483818,0.775483854,4.425483772,1.645483834,0.834666648,0,0,0,0,0,0,0,0.063559595,0.893851707,0.03288492,0.000866416,0.000399612,1.666894262,2.28280614,0.01275638,4482.4965
59479ba9f93cb0000f173b92_2017-06-14,59479ba9f93cb0000f173b92,14/06/2017,165,57344eb46b9acb000d4c6960_Z5,-0.584095001,46.4057426,41,21,3.04452243772342,7483.311,15/06/2017 06:09,14/06/2017 21:56,29581,15/06/2017 01:15,15/06/2017 11:49,0.709585895,0.112893,40,3.41321,4.604344,5.52268,7.564391,1.886797021,5.316013121,-1.713138011,6.854838556,2.454838655,0.86483869,4.514838609,1.734838671,1.174838683,4.593333231,0,0,0,0,0,0,0,0.060808299,0.898507827,0.03170393,0.000778097,0.000385512,1.65766678,2.2552377,0.012468867,4434.077643
59479ba9f93cb0000f173b92_2017-06-15,59479ba9f93cb0000f173b92,15/06/2017,166,57344eb46b9acb000d4c6960_Z5,-0.584095001,46.4057426,19,19,2.94443897916644,4464,16/06/2017 06:09,15/06/2017 21:56,29553,16/06/2017 01:48,16/06/2017 12:57,0.608999749,0.112893,39,9.411164,3.41321,4.604344,5.52268,7.564391013,1.886797021,4.80669433,4.575483769,6.76548372,2.365483818,0.775483854,4.425483772,1.645483834,0.834666648,0,0,0,0,0,0,0,0.060808299,0.898507827,0.03170393,0.000778097,0.000385512,1.65766678,2.2552377,0.012468867,4434.077643
59479cab564127000d6df599_2017-06-14,59479cab564127000d6df599,14/06/2017,165,57344eb46b9acb000d4c6960_Z6,-0.58399576,46.40614579,147,98,4.58496747867057,7107,15/06/2017 06:09,14/06/2017 21:56,29580,15/06/2017 01:15,15/06/2017 11:49,0.709585895,0.1143841,40,3.41321,4.604344,5.52268,7.564391,1.886797021,5.316013121,-1.713138011,6.854838556,2.454838655,0.86483869,4.514838609,1.734838671,1.174838683,4.593333231,0,0,0,0,0,0,0,0.059420609,0.900808778,0.03110201,0.000778081,0.000371357,1.649097393,2.25285972,0.012250451,4389.21743
59479cab564127000d6df599_2017-06-15,59479cab564127000d6df599,15/06/2017,166,57344eb46b9acb000d4c6960_Z6,-0.58399576,46.40614579,104,96,4.56434819146784,4257.6295,16/06/2017 06:09,15/06/2017 21:56,29553,16/06/2017 01:48,16/06/2017 12:57,0.608999749,0.1143841,39,9.411164,3.41321,4.604344,5.52268,7.564391013,1.886797021,4.80669433,4.575483769,6.76548372,2.365483818,0.775483854,4.425483772,1.645483834,0.834666648,0,0,0,0,0,0,0,0.059420609,0.900808778,0.03110201,0.000778081,0.000371357,1.649097393,2.25285972,0.012250451,4389.21743
59479cf7564127000d6df59c_2017-06-14,59479cf7564127000d6df59c,14/06/2017,165,57344eb46b9acb000d4c6960_Z7,-0.583700717,46.40577034,209,185,5.22035582507832,5922,15/06/2017 06:09,14/06/2017 21:56,29580,15/06/2017 01:15,15/06/2017 11:49,0.709585895,0.111907,40,3.41321,4.604344,5.52268,7.564391,1.886797021,5.316013121,-1.713138011,6.854838556,2.454838655,0.86483869,4.514838609,1.734838671,1.174838683,4.593333231,0,0,0,0,0,0,0,0.060619455,0.89899932,0.03158833,0.000778125,0.000381989,1.655765936,2.24768024,0.012467138,4430.729681
59479cf7564127000d6df59c_2017-06-15,59479cf7564127000d6df59c,15/06/2017,166,57344eb46b9acb000d4c6960_Z7,-0.583700717,46.40577034,13,13,2.56494935746154,4885,16/06/2017 06:09,15/06/2017 21:56,29553,16/06/2017 01:48,16/06/2017 12:57,0.608999749,0.111907,39,9.411164,3.41321,4.604344,5.52268,7.564391013,1.886797021,4.80669433,4.575483769,6.76548372,2.365483818,0.775483854,4.425483772,1.645483834,0.834666648,0,0,0,0,0,0,0,0.060619455,0.89899932,0.03158833,0.000778125,0.000381989,1.655765936,2.24768024,0.012467138,4430.729681
59479df3564127000d6df5a3_2017-06-13,59479df3564127000d6df5a3,13/06/2017,164,57344eb46b9acb000d4c6960_Z8,-0.583727539,46.40631779,43,42,3.73766961828337,3847.572,14/06/2017 06:09,13/06/2017 21:55,29612,14/06/2017 00:40,14/06/2017 10:44,0.800719717,0.106926,100,4.604344,5.52268,7.564391,1.886797,5.316013121,2.952965323,-0.536745771,2.927419289,1.337419325,4.987419243,2.207419305,1.647419318,2.617419296,0.315999993,0,0,0,0,0,5.40000008,-0.360000005,0.058883238,0.901876591,0.03078381,0.000778084,0.000371358,1.644689405,2.25271592,0.0122104,4369.945682
59479df3564127000d6df5a3_2017-06-14,59479df3564127000d6df5a3,14/06/2017,165,57344eb46b9acb000d4c6960_Z8,-0.583727539,46.40631779,191,132,4.88280192258637,9205.5,15/06/2017 06:09,14/06/2017 21:56,29580,15/06/2017 01:15,15/06/2017 11:49,0.709585895,0.106926,40,3.41321,4.604344,5.52268,7.564391,1.886797021,5.316013121,-1.713138011,6.854838556,2.454838655,0.86483869,4.514838609,1.734838671,1.174838683,4.593333231,0,0,0,0,0,0,0,0.058883238,0.901876591,0.03078381,0.000778084,0.000371358,1.644689405,2.25271592,0.0122104,4369.945682
