Part_nuit,Participation,Date,Julian_day,site_point,Longitude,Latitude,Eptser_tot,Eptser_tot_Part1,ln_Eptser_tot_Part1,Median_part1,Sunrise,Sunset,NightDuration,Moonrise,Moonset,Moonlight,ALAN,Cloud_cover,Windspeed,Windspeed_1before,Windspeed_2before,Windspeed_3before,Windspeed_4before,Windspeed_5before,Difference_windspeed,Temperature_anomaly,Temperature_anomaly_1before,Temperature_anomaly_2before,Temperature_anomaly_3before,Temperature_anomaly_4before,Temperature_anomaly_5before,Difference_temperature_anomaly,Precipitations,Precipitations_1before,Precipitations_2before,Precipitations_3before,Precipitations_4before,Precipitations_5before,Difference_precipitations,Artifialized_surfaces,Crops,Grasslands,Deciduous_forests,Conifer_forests,Shannon_index,Road_density,SWF_density,Min_dist_water
5630a55a5f4b2f000d5b70e6_2015-06-17,5630a55a5f4b2f000d5b70e6,17/06/2015,168,56308bb0f942f5000df31f04_Z1,2.504410744,48.38068234,14,13,2.564949357,7188.707,18/06/2015 05:48,17/06/2015 21:53,28465,17/06/2015 07:01,17/06/2015 22:28,0.008139343,0.1617076,58,4.294184,6.519201,4.810405,3.634557,3.894866226,3.577710821,-0.646398618,0.017096774,0.117096772,2.117096727,3.277096701,3.407096698,4.187096681,-1.975333289,0,0,0,0,0,0,0,0.176569415,0.174758524,0.0427718,0.3206241,0.2813184,1.804737093,1.64553017,0.001936826,726.3093132
5630a7f05f4b2f000e32a729_2015-06-12,5630a7f05f4b2f000e32a729,12/06/2015,163,56308beff942f5000df31f0a_Z1,1.685875654,48.63137702,10,8,2.079441542,5978.945,13/06/2015 05:50,12/06/2015 21:55,28485,13/06/2015 03:59,13/06/2015 18:36,0,1.217773,74,3.577711,3.801314,5.280149,9.265524,9.178779189,7.057619804,-2.644883412,4.509999899,6.399999857,0.469999989,-1.35999997,-1.499999966,-1.279999971,2.808666604,1.000000015,3.800000057,0,0,0,0,-0.266666671,0.179752985,0.401459972,0.0664007,0.3363962,0.01568236,1.686094469,1.55357251,0.011070726,93.94192916
565eba33dd3d94000deb6caa_2014-06-12,565eba33dd3d94000deb6caa,12/06/2014,163,565c1805189c73000dff56aa_F2,2.498960495,49.20917283,21,15,2.708050201,5991.164,13/06/2014 05:44,12/06/2014 21:55,28144,12/06/2014 20:57,13/06/2014 06:19,0.99999615,3.582569,11,6.103278,2.801788,3.100006,2.059129,7.060447932,2.817801945,2.801608079,2.168709629,3.138709607,3.618709597,5.458709555,5.208709561,6.928709523,-2.09066662,0,0,8.200000122,19.20000029,19.50000029,4.100000061,-8.900000133,0.242043511,0.098077284,0.1003233,0.5223043,0.02582005,1.564218689,1.54231402,0.01126586,765.3038131
5747635efcaa80000e4561bb_2016-05-20,5747635efcaa80000e4561bb,20/05/2016,141,5746c11efcaa80000e455503_Z1,0.994797796,47.35460282,11,10,2.302585093,1495.604,21/05/2016 06:12,20/05/2016 21:32,31193,20/05/2016 20:00,21/05/2016 06:24,0.993603709,0.4513722,29,4.242641,6.774218,11.96035,3.201562,7.569016935,8.720665009,-3.435750659,0.748064499,-1.53193545,-2.791935421,-2.381935431,-2.761935422,-4.591935381,3.15399993,0,0,7.900000118,0,0,0,-2.106666698,0.179610519,0.242924463,0.1456882,0.3743943,0.01451187,1.987973333,2.28220515,0.067133008,0.833750847
577b50ee191ea6000d81fde7_2016-06-08,577b50ee191ea6000d81fde7,08/06/2016,160,577aa1f4d97469000daf3dee_Z1,0.958471298,47.39160934,28,28,3.33220451,4520.2845,09/06/2016 05:59,08/06/2016 21:50,29323,08/06/2016 09:40,09/06/2016 00:33,0.131065319,2.637781,39,5.346027,7.68505,3.920459,2.961417,4.939634217,5.192301563,0.1418332,3.502580567,4.132580553,3.842580559,-0.177419351,-1.12741933,-3.217419283,1.500666633,0,0,0,0,0,0,0,0.202996405,0.088749685,0.09578091,0.4444665,0.09297267,1.848467199,2.04851347,0.075252843,755.7242555
57833768e9e96b000de2270f_2016-05-27,57833768e9e96b000de2270f,27/05/2016,148,574c3382984ec9000dd93777_Z1,0.95870465,47.31604288,12,12,2.48490665,3249.5,28/05/2016 06:06,27/05/2016 21:40,30367,28/05/2016 01:54,28/05/2016 12:28,0.619599099,1.010643,52,5.375872,4.119465,4.382919,9.154778,7.125307011,8.747572075,-0.530229406,2.834838646,1.054838686,-0.945161269,-3.405161214,-1.79516125,-2.055161244,3.792666582,7.600000113,1.700000025,4.200000063,0,3.700000055,15.60000023,4.380000065,0.19397888,0.555212055,0.08830114,0.09997984,0.02824179,2.128015219,2.25222214,0.077086649,31.01553313
57d7d4644afc01000e86b120_2016-06-06,57d7d4644afc01000e86b120,06/06/2016,158,57344eb46b9acb000d4c6960_Z8,-0.583727539,46.40631779,32,31,3.433987204,4406.628,07/06/2016 06:10,06/06/2016 21:51,29942,06/06/2016 07:47,06/06/2016 23:07,0.024656179,0.106926,72,3.920459,2.961417,4.939634,5.192302,5.420330706,5.481785129,-0.510539236,2.329354787,-0.270645155,-0.650645147,-1.970645117,-1.170645135,-2.110645114,3.283999927,0,0,0,0,0,0,0,0.058883238,0.901876591,0.03078381,0.000778084,0.000371358,1.644689405,2.25271592,0.0122104,4369.945682
57d7d4644afc01000e86b120_2016-06-07,57d7d4644afc01000e86b120,07/06/2016,159,57344eb46b9acb000d4c6960_Z8,-0.583727539,46.40631779,16,16,2.772588722,4715.645,08/06/2016 06:10,07/06/2016 21:52,29881,07/06/2016 08:46,07/06/2016 23:56,0.068121899,0.106926,31,7.68505,3.920459,2.961417,4.939634,5.192301563,5.420330706,3.546930078,3.810967657,2.370967689,-0.229032253,-0.609032244,-1.929032215,-1.129032233,3.535999921,0,0,0,0,0,0,0,0.058883238,0.901876591,0.03078381,0.000778084,0.000371358,1.644689405,2.25271592,0.0122104,4369.945682
57d7d4644afc01000e86b120_2016-06-09,57d7d4644afc01000e86b120,09/06/2016,161,57344eb46b9acb000d4c6960_Z8,-0.583727539,46.40631779,16,12,2.48490665,4542.6395,10/06/2016 06:09,09/06/2016 21:53,29770,09/06/2016 10:53,10/06/2016 01:13,0.210647692,0.106926,77,5.374009,5.346027,7.68505,3.920459,2.961417012,4.939634217,0.034396984,3.897419268,3.597419274,3.617419274,2.177419306,-0.422580636,-0.802580627,1.407999969,0,0,0,0,0,0,0,0.058883238,0.901876591,0.03078381,0.000778084,0.000371358,1.644689405,2.25271592,0.0122104,4369.945682
57d7d48e1cf80e000c73fd05_2016-06-06,57d7d48e1cf80e000c73fd05,06/06/2016,158,57344eb46b9acb000d4c6960_Z7,-0.583700717,46.40577034,31,31,3.433987204,4407.035,07/06/2016 06:10,06/06/2016 21:51,29944,06/06/2016 07:47,06/06/2016 23:07,0.024656179,0.111907,72,3.920459,2.961417,4.939634,5.192302,5.420330706,5.481785129,-0.510539236,2.329354787,-0.270645155,-0.650645147,-1.970645117,-1.170645135,-2.110645114,3.283999927,0,0,0,0,0,0,0,0.060619455,0.89899932,0.03158833,0.000778125,0.000381989,1.655765936,2.24768024,0.012467138,4430.729681
